dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count,n_tissues,n_diseases
b2dda353-0c96-42df-8dcd-1ea7429a6feb,4462,17,brain,normal,blood;brain;intestine;kidney;liver;lung,Spatial and cell type transcriptional landscape of human cerebellar development,10.1038/s41593-021-00872-y,Cerebellum,b2dda353-0c96-42df-8dcd-1ea7429a6feb.h5ad,69174,1,1
145dcf6a-2461-4fa3-a0af-7fc56db0bd33,123236,14,brain,glioblastoma,blood;brain;intestine;kidney;liver;lung,Single-cell RNA sequencing of glioblastoma cases with tissue sampled from tumor core to macroscopically normal cortex,10.1101/2023.09.01.555882,SL057,145dcf6a-2461-4fa3-a0af-7fc56db0bd33.h5ad,123236,1,1
21722308-5091-4b63-9c07-4f116ab9a7b3,135482,13,brain,glioblastoma,blood;brain;intestine;kidney;liver;lung,Single-cell RNA sequencing of glioblastoma cases with tissue sampled from tumor core to macroscopically normal cortex,10.1101/2023.09.01.555882,SL040,21722308-5091-4b63-9c07-4f116ab9a7b3.h5ad,135482,1,1
4b83f213-b96b-4c87-a884-9b81faddb194,22370,11,brain,normal,blood;brain;intestine;kidney;liver;lung,"Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days",10.1101/2025.07.28.667119,CortexCultures4Days11DaysInVitro,4b83f213-b96b-4c87-a884-9b81faddb194.h5ad,22370,1,1
dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503,17799,11,brain,multiple sclerosis;normal,blood;brain;intestine;kidney;liver;lung,Single nuclei RNA- sequencing from the white matter of individuals with progressive MS and non-neurological controls,10.1038/s41586-019-0903-2,Oligodendrocytes in MS,dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503.h5ad,17799,1,2
3e55180c-780a-4424-9434-5296640ffc0d,7774,10,brain,normal,blood;brain;intestine;kidney;liver;lung,"Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days",10.1101/2025.07.28.667119,CortexCulturesTwoWeeksInVitro,3e55180c-780a-4424-9434-5296640ffc0d.h5ad,7774,1,1
774c18c5-efa1-4dc5-9e5e-2c824bab2e34,3589,7,brain,glioblastoma,blood;brain;intestine;kidney;liver;lung,Single-Cell RNAseq analysis of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma,10.1016/j.celrep.2017.10.030,Infiltrating Neoplastic Cells Human Glioblastoma,774c18c5-efa1-4dc5-9e5e-2c824bab2e34.h5ad,3589,1,1
a1b9c51e-a408-4f7f-bccb-abefe20ae2a5,16245,6,brain,Alzheimer disease;temporal lobe epilepsy,blood;brain;intestine;kidney;liver;lung,Live Human Microglia Single-cell RNA-seq,10.1038/s41467-020-19737-2,Olah et al (2020) Single-cell Human Microglia,a1b9c51e-a408-4f7f-bccb-abefe20ae2a5.h5ad,16245,1,2
576f193c-75d0-4a11-bd25-8676587e6dc2,107174,11,brain;liver;lung,lung adenocarcinoma;normal;small cell lung carcinoma,blood;brain;intestine;kidney;liver;lung,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,Combined samples,576f193c-75d0-4a11-bd25-8676587e6dc2.h5ad,147137,3,3
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,10785,59,intestine,colorectal cancer;normal,blood;brain;intestine;kidney;liver;lung,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,Extended+ - 18485 genes,19053a82-9c89-4fb8-bd19-d7b1800b0b7b.h5ad,1596200,1,2
