dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count
ecf2e08e-2032-4a9e-b466-b65b395f4a02,0,0,,,blood;brain;intestine;kidney;liver;lung,Spatial multiomics map of trophoblast development in early pregnancy,10.1038/s41586-023-05869-0,All donors trophoblasts,ecf2e08e-2032-4a9e-b466-b65b395f4a02.h5ad,75042
ed11cc3e-2947-407c-883c-c53b043917c3,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA,ed11cc3e-2947-407c-883c-c53b043917c3.h5ad,8573
ed2b673b-0279-454a-998c-3eec361edf54,0,0,,,blood;brain;intestine;kidney;liver;lung,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,DCM/ACM heart cell atlas: Fibroblasts,ed2b673b-0279-454a-998c-3eec361edf54.h5ad,142816
ed33c203-233a-476a-a56b-28da945fdd32,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,"Dissection: Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",ed33c203-233a-476a-a56b-28da945fdd32.h5ad,32638
ed419b4e-db9b-40f1-8593-68fdf8dfb076,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomic atlas for adult human retina,10.1016/j.xgen.2023.100298,Non-neuronal cells in human retina,ed419b4e-db9b-40f1-8593-68fdf8dfb076.h5ad,18011
ed5d841d-6346-47d4-ab2f-7119ad7e3a35,161764,30,blood,normal,blood;brain;intestine;kidney;liver;lung,Integrated analysis of multimodal single-cell data,10.1016/j.cell.2021.04.048,nygc multimodal pbmc,ed5d841d-6346-47d4-ab2f-7119ad7e3a35.h5ad,161764
ed78c6b7-cb40-4ebc-b55f-40bc99ba1b5d,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Immune Health Atlas,10.1038/s41586-025-09686-5,Human Immune Health Atlas B and Plasma cells,ed78c6b7-cb40-4ebc-b55f-40bc99ba1b5d.h5ad,160632
ed852810-a003-4386-9846-1638362cee39,0,0,,,blood;brain;intestine;kidney;liver;lung,Cells of the adult human heart,10.1038/s41586-020-2797-4,Immune — Cells of the adult human heart,ed852810-a003-4386-9846-1638362cee39.h5ad,40868
ed880090-465d-4477-9d98-70838ca288e3,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Breast Cancer Single Cell Atlas,10.1101/2025.03.13.643025,Epithelial Compartment,ed880090-465d-4477-9d98-70838ca288e3.h5ad,242613
ed9e9f96-4f08-49d2-bef5-b2c29adf3edc,5696,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (4 days post-intubation),ed9e9f96-4f08-49d2-bef5-b2c29adf3edc.h5ad,5696
